"Tahun","Bulan","Luas Lahan","Luas Panen (ha)","Produksi Padi (ton/gkg)"
"2018","Januari","43573.00 ","449.24 ","2781.16 "
"2018","Februari","43573.00 ","16598.03 ","102755.27 "
"2018","Maret","43573.00 ","9352.41 ","57899.01 "
"2018","April","43573.00 ","2512.02 ","15551.44 "
"2018","Mei","43573.00 ","9882.90 ","57103.19 "
"2018","Juni","43573.00 ","7680.37 ","44377.02 "
"2018","Juli","43573.00 ","3594.00 ","20766.00 "
"2018","Agustus","43573.00 ","1793.23 ","10361.25 "
"2018","September","43573.00 ","2663.34 ","18230.62 "
"2018","Oktober","43573.00 ","1703.87 ","11663.03 "
"2018","November","43573.00 ","925.73 ","6336.64 "
"2018","Desember","43573.00 ","566.50 ","3877.70 "
"2019","Januari","41212.00 ","1069.39 ","6321.88 "
"2019","Februari","41212.00 ","4308.22 ","25468.78 "
"2019","Maret","41212.00 ","21148.74 ","125024.39 "
"2019","April","41212.00 ","2345.39 ","13865.17 "
"2019","Mei","41212.00 ","2836.33 ","16753.40 "
"2019","Juni","41212.00 ","13630.76 ","80513.07 "
"2019","Juli","41212.00 ","6908.50 ","40806.57 "
"2019","Agustus","41212.00 ","2415.93 ","14270.22 "
"2019","September","41212.00 ","2202.78 ","14105.22 "
"2019","Oktober","41212.00 ","1951.56 ","12496.56 "
"2019","November","41212.00 ","2224.75 ","14245.90 "
"2019","Desember","41212.00 ","600.70 ","3846.50 "
"2020","Januari","37637.40 ","1026.26 ","6451.09 "
"2020","Februari","37637.40 ","5353.81 ","33654.14 "
"2020","Maret","37637.40 ","17545.89 ","110293.75 "
"2020","April","37637.40 ","10094.10 ","63451.68 "
"2020","Mei","37637.40 ","1020.28 ","6057.83 "
"2020","Juni","37637.40 ","5171.39 ","30704.71 "
"2020","Juli","37637.40 ","15226.85 ","90408.20 "
"2020","Agustus","37637.40 ","3575.24 ","21227.70 "
"2020","September","37637.40 ","3298.64 ","18754.71 "
"2020","Oktober","37637.40 ","2356.05 ","13395.53 "
"2020","November","37637.40 ","2295.09 ","13048.93 "
"2020","Desember","37637.40 ","47.20 ","268.36 "
"2021","Januari","37637.40 ","2514.40 ","2514.40 "
"2021","Februari","37637.40 ","6284.78 ","38615.05 "
"2021","Maret","37637.40 ","13961.09 ","90703.72 "
"2021","April","37637.40 ","3852.74 ","23672.07 "
"2021","Mei","37637.40 ","876.32 ","5377.67 "
"2021","Juni","37637.40 ","15578.02 ","95596.82 "
"2021","Juli","37637.40 ","6054.77 ","37155.99 "
"2021","Agustus","37637.40 ","2002.21 ","12286.86 "
"2021","September","37637.40 ","532.89 ","3529.16 "
"2021","Oktober","37637.40 ","3105.13 ","20564.27 "
"2021","November","37637.40 ","1541.49 ","10208.79 "
"2021","Desember","37637.40 ","319.93 ","2118.79 "
"2022","Januari","37637.40 ","95.22 ","618.63 "
"2022","Februari","37637.40 ","15729.75 ","102194.51 "
"2022","Maret","37637.40 ","13961.09 ","90703.72 "
"2022","April","37637.40 ","2149.54 ","13965.33 "
"2022","Mei","37637.40 ","2180.74 ","14177.11 "
"2022","Juni","37637.40 ","16543.66 ","107551.27 "
"2022","Juli","37637.40 ","4256.08 ","27669.02 "
"2022","Agustus","37637.40 ","2254.27 ","14655.14 "
"2022","September","37637.40 ","1053.19 ","6836.77 "
"2022","Oktober","37637.40 ","3522.05 ","22863.35 "
"2022","November","37637.40 ","1279.25 ","8304.24 "
"2022","Desember","37637.40 ","262.36 ","1703.11 "
